,journal
10.1103/PhysRevA.1.1137,PRA
10.1103/PhysRevA.1.1604,PRA
10.1103/PhysRevA.1.1483,PRA
10.1103/PhysRevA.1.305,PRA
10.1103/PhysRevA.1.1838,PRA
10.1103/PhysRevA.1.133,PRA
10.1103/PhysRevA.1.1266,PRA
10.1103/PhysRevA.1.225,PRA
10.1103/PhysRevA.1.1722,PRA
10.1103/PhysRevA.1.145,PRA
10.1103/PhysRevA.1.914,PRA
10.1103/PhysRevA.1.1577,PRA
10.1103/PhysRevA.1.177,PRA
10.1103/PhysRevA.1.983,PRA
10.1103/PhysRevA.1.923,PRA
10.1103/PhysRevA.1.1397,PRA
10.1103/PhysRevA.1.1339,PRA
10.1103/PhysRevA.1.446,PRA
10.1103/PhysRevA.1.1270,PRA
10.1103/PhysRevB.1.851,PRB
10.1103/PhysRevB.1.2785,PRB
10.1103/PhysRevB.1.2592,PRB
10.1103/PhysRevB.1.1363,PRB
10.1103/PhysRevB.1.4464,PRB
10.1103/PhysRevB.1.2088,PRB
10.1103/PhysRevB.1.4188,PRB
10.1103/PhysRevB.1.2134,PRB
10.1103/PhysRevB.1.832,PRB
10.1103/PhysRevB.1.181,PRB
10.1103/PhysRevB.1.2642,PRB
10.1103/PhysRevB.1.2888,PRB
10.1103/PhysRevB.1.425,PRB
10.1103/PhysRevB.1.1103,PRB
10.1103/PhysRevB.1.4533,PRB
10.1103/PhysRevB.1.3143,PRB
10.1103/PhysRevB.1.2827,PRB
10.1103/PhysRevB.1.3690,PRB
10.1103/PhysRevB.1.2692,PRB
10.1103/PhysRevB.1.2511,PRB
10.1103/PhysRevB.1.3609,PRB
10.1103/PhysRevB.1.1273,PRB
10.1103/PhysRevB.1.3323,PRB
10.1103/PhysRevB.1.1136,PRB
10.1103/PhysRevB.1.1243,PRB
10.1103/PhysRevB.1.973,PRB
10.1103/PhysRevB.1.2863,PRB
10.1103/PhysRevB.1.319,PRB
10.1103/PhysRevB.1.4686,PRB
10.1103/PhysRevB.1.1528,PRB
10.1103/PhysRevB.1.3409,PRB
10.1103/PhysRevB.1.1318,PRB
10.1103/PhysRevB.1.2169,PRB
10.1103/PhysRevB.1.1227,PRB
10.1103/PhysRevB.1.2418,PRB
10.1103/PhysRevB.1.3439,PRB
10.1103/PhysRevB.1.2706,PRB
10.1103/PhysRevB.1.2257,PRB
10.1103/PhysRevB.1.2488,PRB
10.1103/PhysRevB.1.448,PRB
10.1103/PhysRevB.1.4546,PRB
10.1103/PhysRevB.1.1831,PRB
10.1103/PhysRevB.1.4249,PRB
10.1103/PhysRevB.1.910,PRB
10.1103/PhysRevB.1.3649,PRB
10.1103/PhysRevB.1.572,PRB
10.1103/PhysRevB.1.4409,PRB
10.1103/PhysRevB.1.2538,PRB
10.1103/PhysRevB.1.1540,PRB
10.1103/PhysRevB.1.3402,PRB
10.1103/PhysRevB.1.1251,PRB
10.1103/PhysRevB.1.552,PRB
10.1103/PhysRevB.1.2359,PRB
10.1103/PhysRevB.1.942.5,PRB
10.1103/PhysRevB.1.3204,PRB
10.1103/PhysRevB.1.764,PRB
10.1103/PhysRevB.1.193,PRB
10.1103/PhysRevB.1.2289,PRB
10.1103/PhysRevB.1.4144,PRB
10.1103/PhysRevB.1.2177,PRB
10.1103/PhysRevB.1.3381,PRB
10.1103/PhysRevB.1.4654,PRB
10.1103/PhysRevB.1.4029,PRB
10.1103/PhysRevB.1.114,PRB
10.1103/PhysRevB.1.1986,PRB
10.1103/PhysRevB.1.2833,PRB
10.1103/PhysRevB.1.214,PRB
10.1103/PhysRevB.1.3561,PRB
10.1103/PhysRevB.1.2700,PRB
10.1103/PhysRevB.1.3963,PRB
10.1103/PhysRevB.1.2211,PRB
10.1103/PhysRevB.1.4709,PRB
10.1103/PhysRevB.1.463,PRB
10.1103/PhysRevB.1.3815,PRB
10.1103/PhysRevB.1.4803,PRB
10.1103/PhysRevB.1.2231,PRB
10.1103/PhysRevB.1.1415,PRB
10.1103/PhysRevB.1.3569,PRB
10.1103/PhysRevB.1.1020,PRB
10.1103/PhysRevB.1.2917,PRB
10.1103/PhysRevB.1.4735,PRB
10.1103/PhysRevB.1.815,PRB
10.1103/PhysRevB.1.1054,PRB
10.1103/PhysRevB.1.2569,PRB
10.1103/PhysRevB.1.2369,PRB
10.1103/PhysRevB.1.554,PRB
10.1103/PhysRevB.1.3217,PRB
10.1103/PhysRevB.1.101,PRB
10.1103/PhysRevB.1.3274,PRB
10.1103/PhysRevB.1.1522,PRB
10.1103/PhysRevB.1.1459,PRB
10.1103/PhysRevB.1.1306,PRB
10.1103/PhysRevB.1.478,PRB
10.1103/PhysRevB.1.4118,PRB
10.1103/PhysRevB.1.3685,PRB
10.1103/PhysRevB.1.3928,PRB
10.1103/PhysRevB.1.1039,PRB
10.1103/PhysRevB.1.2811,PRB
10.1103/PhysRevB.1.2312,PRB
10.1103/PhysRevB.1.4203,PRB
10.1103/PhysRevB.1.627,PRB
10.1103/PhysRevB.1.3223,PRB
10.1103/PhysRevB.1.2557,PRB
10.1103/PhysRevB.1.394,PRB
10.1103/PhysRevB.1.739,PRB
10.1103/PhysRevB.1.1614,PRB
10.1103/PhysRevB.1.3979,PRB
10.1103/PhysRevB.1.931,PRB
10.1103/PhysRevB.1.1097,PRB
10.1103/PhysRevB.1.2613,PRB
10.1103/PhysRevB.1.4270,PRB
10.1103/PhysRevB.1.942.3,PRB
10.1103/PhysRevB.1.3417,PRB
10.1103/PhysRevB.1.4289,PRB
10.1103/PhysRevB.1.3510,PRB
10.1103/PhysRevB.1.3998,PRB
10.1103/PhysRevB.1.3801,PRB
10.1103/PhysRevB.1.1234,PRB
10.1103/PhysRevB.1.3458,PRB
10.1103/PhysRevB.1.1660,PRB
10.1103/PhysRevB.1.4835,PRB
10.1103/PhysRevB.1.4573,PRB
10.1103/PhysRevB.1.471,PRB
10.1103/PhysRevB.1.4378,PRB
10.1103/PhysRevB.1.4208,PRB
10.1103/PhysRevB.1.3300,PRB
10.1103/PhysRevB.1.2070,PRB
10.1103/PhysRevB.1.4649,PRB
10.1103/PhysRevB.1.169,PRB
10.1103/PhysRevB.1.1881,PRB
10.1103/PhysRevB.1.989,PRB
10.1103/PhysRevB.1.3555,PRB
10.1103/PhysRevB.1.70,PRB
10.1103/PhysRevB.1.982,PRB
10.1103/PhysRevB.1.4700,PRB
10.1103/PhysRevB.1.1254,PRB
10.1103/PhysRevB.1.1548,PRB
10.1103/PhysRevB.1.517,PRB
10.1103/PhysRevB.1.1044,PRB
10.1103/PhysRevB.1.3913,PRB
10.1103/PhysRevB.1.3577,PRB
10.1103/PhysRevB.1.203,PRB
10.1103/PhysRevB.1.2827.2,PRB
10.1103/PhysRevB.1.24,PRB
10.1103/PhysRevB.1.4261,PRB
10.1103/PhysRevB.1.229,PRB
10.1103/PhysRevB.1.4161,PRB
10.1103/PhysRevB.1.4791,PRB
10.1103/PhysRevB.1.1698,PRB
10.1103/PhysRevB.1.361,PRB
10.1103/PhysRevB.1.4551,PRB
10.1103/PhysRevB.1.349,PRB
10.1103/PhysRevB.1.2950,PRB
10.1103/PhysRevB.1.3756,PRB
10.1103/PhysRevB.1.314,PRB
10.1103/PhysRevB.1.1325,PRB
10.1103/PhysRevB.1.2605,PRB
10.1103/PhysRevB.1.1285,PRB
10.1103/PhysRevB.1.3464,PRB
10.1103/PhysRevB.1.942,PRB
10.1103/PhysRevB.1.522,PRB
10.1103/PhysRevB.1.221,PRB
10.1103/PhysRevB.1.3885,PRB
10.1103/PhysRevB.1.1805,PRB
10.1103/PhysRevB.1.4537,PRB
10.1103/PhysRevB.1.2385,PRB
10.1103/PhysRevB.1.2063,PRB
10.1103/PhysRevB.1.1739,PRB
10.1103/PhysRevB.1.800,PRB
10.1103/PhysRevB.1.3083,PRB
10.1103/PhysRevB.1.3250,PRB
10.1103/PhysRevB.1.756,PRB
10.1103/PhysRevB.1.2011,PRB
10.1103/PhysRevB.1.3152,PRB
10.1103/PhysRevB.1.2457,PRB
10.1103/PhysRevB.1.567,PRB
10.1103/PhysRevB.1.4342,PRB
10.1103/PhysRevB.1.924,PRB
10.1103/PhysRevB.1.4456,PRB
